                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.9707,                 1.5898,                 1.2732,                0.48481,                0.49612,                0.46893,                0.19799,                 2.1953,                 1.8032,                 1.2305,               0.005248,               0.005248,               0.005248
                     50,                 2.0963,                 1.6478,                 1.1948,                0.48822,                0.48837,                0.46725,                0.20404,                 2.2613,                 1.9382,                 1.3008,               0.005149,               0.005149,               0.005149
                     51,                 2.0379,                 1.6726,                 1.2445,                0.52011,                0.48796,                0.49377,                0.20835,                 2.2607,                 1.6125,                 1.2302,                0.00505,                0.00505,                0.00505
                     52,                 2.0997,                  1.377,                 1.1973,                0.51573,                0.50308,                0.50059,                0.20719,                 2.2771,                 1.6648,                  1.246,               0.004951,               0.004951,               0.004951
                     53,                 1.9171,                 1.3382,                 1.1737,                 0.5127,                0.44961,                0.48258,                0.20559,                 2.2987,                  1.694,                 1.2449,               0.004852,               0.004852,               0.004852
                     54,                 2.0786,                 1.4389,                 1.1789,                0.55059,                0.46798,                0.49695,                0.21842,                 2.2463,                 1.6181,                 1.2346,               0.004753,               0.004753,               0.004753
                     55,                 2.0351,                 1.4664,                 1.1862,                0.50123,                0.49175,                0.48866,                0.20109,                 2.2652,                 1.6033,                 1.2271,               0.004654,               0.004654,               0.004654
                     56,                 2.0571,                 1.4086,                 1.2396,                0.51321,                0.51476,                0.49551,                 0.2071,                 2.2543,                  1.597,                  1.216,               0.004555,               0.004555,               0.004555
                     57,                 1.9675,                 1.3742,                 1.1828,                0.50649,                0.49533,                0.48007,                0.19769,                 2.2239,                 1.6146,                 1.2195,               0.004456,               0.004456,               0.004456
                     58,                 1.9972,                 1.4552,                 1.2465,                0.48842,                 0.4935,                0.47161,                0.19587,                 2.2656,                 1.6301,                 1.2293,               0.004357,               0.004357,               0.004357
                     59,                 2.2786,                 1.4957,                 1.2275,                0.47407,                0.50512,                0.45522,                0.18193,                 2.1345,                 1.6385,                 1.1953,               0.004258,               0.004258,               0.004258
                     60,                 2.1407,                 1.5274,                  1.346,                0.47781,                0.53613,                0.49821,                0.20235,                 2.1128,                  1.622,                 1.1818,               0.004159,               0.004159,               0.004159
                     61,                 2.0668,                 1.4829,                 1.2147,                0.49631,                  0.495,                0.49944,                 0.2043,                 2.1597,                 1.6425,                 1.1957,                0.00406,                0.00406,                0.00406
                     62,                 2.0637,                 1.4487,                 1.2323,                0.53993,                 0.4911,                0.49956,                0.19497,                 2.2368,                 1.7382,                 1.1938,               0.003961,               0.003961,               0.003961
                     63,                 1.9871,                 1.4262,                 1.1897,                0.48409,                0.50308,                 0.4854,                 0.2141,                 2.2023,                 1.7783,                 1.2009,               0.003862,               0.003862,               0.003862
                     64,                 1.9585,                 1.4612,                 1.1885,                0.58796,                0.52838,                0.49672,                0.20463,                 2.1688,                 1.7806,                 1.1826,               0.003763,               0.003763,               0.003763
                     65,                 1.9004,                 1.4639,                 1.2163,                0.58136,                0.52917,                0.52766,                0.22459,                 2.1654,                 1.7266,                 1.2045,               0.003664,               0.003664,               0.003664
                     66,                 2.0101,                 1.3097,                 1.1224,                0.55601,                0.52917,                0.50887,                0.21434,                 2.2187,                 1.7154,                 1.1947,               0.003565,               0.003565,               0.003565
                     67,                 1.9321,                  1.367,                 1.1762,                0.56009,                0.47026,                0.49796,                0.20229,                 2.2323,                 1.7486,                 1.2008,               0.003466,               0.003466,               0.003466
                     68,                 2.0777,                 1.3537,                  1.148,                0.52494,                0.50354,                0.50364,                0.20368,                 2.2148,                  1.728,                 1.2134,               0.003367,               0.003367,               0.003367
